year_month,plan,status,monthly_action,n_customers
2021-12,Forfettario,Active,Resurrected,26
2024-01,Semplificato,Active,Still_Active,251
2021-12,Forfettario,Active,New,444
2020-12,Semplificato,Active,New,1
2022-11,Forfettario,Churned,Expired,181
2022-02,Semplificato,Active,New,1
2023-04,Semplificato,Churned,Still_Churned,30
2021-07,Forfettario,Churned,Expired,74
2024-03,Semplificato,Active,Renew_Change_Plan,8
2022-11,Forfettario,Churned,Still_Churned,2521
2024-02,Semplificato,Churned,Refunded,1
2019-07,Semplificato,Active,Still_Active,4
2024-04,Forfettario,Active,Renew_Same_Plan,1304
2024-04,Semplificato,Churned,Still_Churned,80
2023-06,Semplificato,Churned,Expired,2
2021-07,Semplificato,Churned,Still_Churned,4
2023-09,Forfettario,Churned,Expired,421
2022-10,Forfettario,Active,Resurrected,42
2022-07,Forfettario,Churned,Expired,162
2024-06,Forfettario,Churned,Expired,527
2023-09,Semplificato,Active,Renew_Change_Plan,7
2022-04,Forfettario,Active,Still_Active,9521
2022-01,Forfettario,Active,New,1555
2019-09,Semplificato,Active,Still_Active,4
2021-11,Forfettario,Churned,Refunded,11
2024-03,Semplificato,Active,New,30
2023-05,Forfettario,Pending,Still_Pending,1
2022-12,Forfettario,Churned,Expired,163
2022-03,Forfettario,Churned,Expired,135
2022-08,Forfettario,Active,Resurrected,24
2024-04,Forfettario,Pending,New_Pending,1
2019-12,Forfettario,Churned,Refunded,2
2020-06,Semplificato,Active,Still_Active,14
2019-07,Forfettario,Churned,Expired,15
2021-01,Forfettario,Active,New,628
2021-07,Semplificato,Active,Resurrected,1
2022-10,Forfettario,Active,Still_Active,13435
2021-07,Forfettario,Active,Renew_Change_Plan,1
2020-09,Forfettario,Churned,Expired,38
2022-12,Forfettario,Active,Resurrected,72
2024-04,Forfettario,Active,Renew_Change_Plan,7
2020-04,Forfettario,Churned,Refunded,2
2021-10,Forfettario,Active,Renew_Same_Plan,230
2023-12,Forfettario,Churned,Expired,332
2022-01,Semplificato,Churned,Expired,1
2021-01,Forfettario,Churned,Still_Churned,425
2019-10,Semplificato,Active,Still_Active,4
2020-12,Forfettario,Churned,Expired,30
2019-09,Forfettario,Active,Still_Active,1194
2020-02,Forfettario,Active,Pending_Activated,1
2019-02,Forfettario,Active,Renew_Same_Plan,13
2019-10,Forfettario,Active,Resurrected,1
2019-12,Forfettario,Active,New,96
2021-07,Semplificato,Churned,Expired,1
2020-02,Forfettario,Churned,Refunded,1
2023-04,Forfettario,Churned,Expired,305
2021-08,Semplificato,Active,Renew_Same_Plan,2
2022-07,Forfettario,Active,Renew_Same_Plan,343
2023-12,Forfettario,Active,Still_Active,23599
2022-12,Forfettario,Pending,New_Pending,1
2022-02,Forfettario,Active,Resurrected,23
2019-11,Forfettario,Active,Renew_Same_Plan,32
2024-02,Semplificato,Active,Still_Active,338
2018-11,Forfettario,Active,Still_Active,397
2018-02,Forfettario,Active,New,18
2024-03,Forfettario,Active,Pending_Activated,1
2019-06,Semplificato,Active,Still_Active,4
2023-01,Semplificato,Active,Renew_Same_Plan,8
2019-02,Forfettario,Active,Still_Active,626
2023-04,Semplificato,Active,New,6
2023-06,Forfettario,Active,Resurrected,77
2023-10,Forfettario,Active,New,717
2021-09,Forfettario,Churned,Refunded,10
2023-01,Forfettario,Active,Renew_Same_Plan,1784
2021-08,Forfettario,Churned,Expired,45
2023-06,Semplificato,Churned,Refunded,2
2018-04,Forfettario,Active,New,24
2021-10,Semplificato,Active,Still_Active,56
2024-04,Forfettario,Active,Still_Active,27119
2021-08,Forfettario,Pending,New_Pending,1
2022-03,Semplificato,Churned,Still_Churned,11
2019-07,Forfettario,Active,Still_Active,1097
2022-12,Forfettario,Churned,Refunded,21
2020-11,Forfettario,Churned,Refunded,1
2023-01,Forfettario,Active,Renew_Change_Plan,5
2024-07,Forfettario,Churned,Expired,453
2019-02,Semplificato,Active,New,2
2019-11,Forfettario,Churned,Refunded,1
2020-12,Forfettario,Active,Resurrected,6
2022-01,Semplificato,Churned,Still_Churned,8
2022-09,Semplificato,Active,New,1
2022-12,Semplificato,Active,Resurrected,3
2021-06,Forfettario,Active,Renew_Same_Plan,181
2023-11,Forfettario,Active,New,513
2023-05,Semplificato,Churned,Still_Churned,34
2019-07,Forfettario,Churned,Still_Churned,28
2024-06,Forfettario,Active,Resurrected,100
2019-06,Forfettario,Churned,Expired,7
2023-12,Forfettario,Active,New,486
2023-07,Forfettario,Active,New,887
2024-03,Forfettario,Active,New,1069
2022-06,Semplificato,Active,Renew_Same_Plan,1
2023-01,Forfettario,Active,Pending_Activated,1
2022-06,Forfettario,Active,New,790
2018-06,Forfettario,Active,Still_Active,128
2024-08,Forfettario,Active,Resurrected,16
2021-10,Forfettario,Active,New,412
2023-02,Semplificato,Churned,Still_Churned,24
2022-11,Forfettario,Active,Renew_Same_Plan,385
2023-10,Semplificato,Active,Renew_Same_Plan,3
2022-12,Forfettario,Active,Renew_Same_Plan,457
2021-07,Forfettario,Churned,Still_Churned,710
2022-02,Semplificato,Churned,Still_Churned,10
2023-04,Forfettario,Pending,Still_Pending,1
2021-05,Semplificato,Active,Renew_Change_Plan,2
2021-06,Forfettario,Churned,Expired,61
2018-10,Forfettario,Active,New,62
2022-04,Semplificato,Active,Renew_Change_Plan,5
2021-04,Forfettario,Churned,Still_Churned,531
2023-09,Semplificato,Active,Still_Active,225
2022-11,Forfettario,Pending,New_Pending,1
2020-12,Forfettario,Churned,Still_Churned,395
2021-11,Forfettario,Active,New,393
2024-01,Forfettario,Active,Resurrected,120
2023-12,Forfettario,Pending,New_Pending,1333
2024-05,Semplificato,Active,Renew_Same_Plan,9
2024-05,Semplificato,Active,New,39
2021-03,Forfettario,Churned,Still_Churned,493
2023-02,Forfettario,Churned,Still_Churned,3151
2019-08,Forfettario,Churned,Expired,6
2024-02,Forfettario,Churned,Expired,592
2024-03,Forfettario,Active,Renew_Same_Plan,1529
2024-07,Forfettario,Active,Renew_Change_Plan,10
2022-04,Forfettario,Active,Renew_Same_Plan,406
2023-04,Forfettario,Churned,Still_Churned,3787
2022-11,Forfettario,Active,Resurrected,43
2019-11,Semplificato,Active,Still_Active,4
2019-03,Forfettario,Active,New,157
2022-11,Semplificato,Active,Renew_Same_Plan,3
2023-12,Forfettario,Active,Renew_Change_Plan,3
2021-03,Semplificato,Active,New,1
2020-06,Forfettario,Active,Renew_Same_Plan,88
2022-05,Forfettario,Active,Still_Active,10115
2021-10,Forfettario,Churned,Still_Churned,896
2023-03,Semplificato,Churned,Refunded,3
2021-02,Forfettario,Churned,Expired,35
2023-03,Forfettario,Churned,Refunded,32
2022-06,Semplificato,Churned,Still_Churned,13
2022-04,Forfettario,Churned,Expired,199
2021-09,Semplificato,Active,Still_Active,56
2023-08,Forfettario,Active,Still_Active,21750
2022-10,Semplificato,Active,Still_Active,94
2022-01,Forfettario,Churned,Expired,154
2023-10,Semplificato,Active,New,7
2021-11,Forfettario,Active,Renew_Change_Plan,1
2022-07,Forfettario,Churned,Refunded,22
2022-07,Forfettario,Churned,Still_Churned,1926
2024-02,Forfettario,Pending,New_Pending,1
2022-01,Semplificato,Active,Renew_Same_Plan,5
2023-02,Forfettario,Active,New,1124
2022-04,Forfettario,Churned,Refunded,18
2024-01,Semplificato,Active,Renew_Change_Plan,19
2023-05,Semplificato,Active,Resurrected,5
2022-10,Semplificato,Active,Renew_Change_Plan,3
2021-12,Forfettario,Active,Still_Active,6474
2021-09,Forfettario,Churned,Expired,74
2023-11,Forfettario,Pending,Still_Pending,113
2020-07,Forfettario,Active,Resurrected,1
2020-12,Forfettario,Active,Still_Active,2853
2023-12,Semplificato,Churned,Expired,6
2020-09,Forfettario,Active,New,202
2024-05,Semplificato,Active,Resurrected,3
2024-05,Forfettario,Active,Renew_Change_Plan,12
2023-03,Semplificato,Active,Renew_Same_Plan,7
2020-03,Forfettario,Churned,Expired,27
2020-07,Forfettario,Active,Renew_Same_Plan,95
2021-08,Semplificato,Active,Renew_Change_Plan,5
2023-02,Semplificato,Active,Renew_Same_Plan,7
2020-07,Forfettario,Churned,Refunded,5
2023-04,Forfettario,Active,New,973
2020-12,Forfettario,Active,Pending_Activated,1
2020-02,Semplificato,Active,Still_Active,3
2019-04,Forfettario,Churned,Still_Churned,4
2023-08,Forfettario,Churned,Expired,255
2021-10,Semplificato,Churned,Still_Churned,6
2020-02,Forfettario,Active,Renew_Same_Plan,108
2020-11,Forfettario,Active,Resurrected,15
2022-08,Semplificato,Active,Still_Active,90
2023-09,Forfettario,Pending,New_Pending,2
2024-04,Semplificato,Active,New,44
2022-03,Semplificato,Active,Renew_Change_Plan,5
2019-09,Forfettario,Active,Renew_Same_Plan,55
2019-01,Semplificato,Active,New,1
2022-10,Semplificato,Churned,Still_Churned,17
2024-04,Semplificato,Active,Resurrected,5
2024-04,Semplificato,Active,Renew_Same_Plan,7
2023-09,Semplificato,Churned,Still_Churned,40
2024-05,Forfettario,Active,Renew_Same_Plan,1556
2022-03,Semplificato,Churned,Expired,1
2024-06,Semplificato,Churned,Still_Churned,95
2019-05,Forfettario,Churned,Expired,6
2022-01,Semplificato,Active,Still_Active,59
2023-06,Forfettario,Active,Renew_Same_Plan,807
2024-04,Forfettario,Active,Resurrected,104
2024-07,Forfettario,Active,Renew_Same_Plan,1319
2023-01,Forfettario,Active,Resurrected,36
2022-11,Semplificato,Churned,Still_Churned,19
2023-07,Forfettario,Churned,Refunded,24
2023-08,Forfettario,Active,New,698
2022-03,Forfettario,Active,Resurrected,19
2018-09,Forfettario,Active,Still_Active,252
2019-05,Forfettario,Active,Still_Active,963
2023-03,Forfettario,Active,Pending_Activated,1
2021-05,Forfettario,Active,Still_Active,4329
2022-02,Forfettario,Active,New,975
2020-03,Forfettario,Active,New,98
2020-03,Forfettario,Churned,Refunded,3
2018-09,Forfettario,Active,New,83
2019-04,Forfettario,Active,Still_Active,876
2023-07,Forfettario,Churned,Still_Churned,4653
2021-11,Semplificato,Active,Renew_Change_Plan,3
2018-11,Forfettario,Active,New,45
2021-06,Forfettario,Churned,Still_Churned,661
2023-08,Forfettario,Churned,Refunded,23
2021-09,Forfettario,Active,New,514
2021-01,Semplificato,Active,Still_Active,31
2018-04,Forfettario,Active,Still_Active,64
2023-03,Forfettario,Active,Renew_Same_Plan,948
2021-07,Semplificato,Active,Renew_Change_Plan,2
2020-05,Forfettario,Churned,Expired,15
2024-05,Semplificato,Active,Renew_Change_Plan,8
2021-05,Forfettario,Active,Resurrected,20
2018-05,Forfettario,Active,Still_Active,88
2024-04,Forfettario,Churned,Expired,485
2023-05,Semplificato,Active,Renew_Same_Plan,6
2022-01,Forfettario,Churned,Refunded,9
2022-07,Forfettario,Active,New,837
2019-07,Forfettario,Active,Renew_Same_Plan,33
2021-03,Forfettario,Active,Renew_Same_Plan,155
2020-06,Forfettario,Churned,Still_Churned,214
2021-09,Forfettario,Active,Resurrected,12
2023-10,Semplificato,Churned,Still_Churned,41
2019-04,Forfettario,Active,Renew_Same_Plan,17
2020-04,Forfettario,Active,Still_Active,1739
2023-01,Semplificato,Churned,Still_Churned,22
2021-01,Forfettario,Active,Resurrected,3
2020-08,Forfettario,Active,Renew_Same_Plan,57
2022-04,Semplificato,Churned,Still_Churned,11
2023-02,Forfettario,Churned,Expired,329
2020-08,Semplificato,Active,Renew_Change_Plan,2
2021-07,Semplificato,Active,Still_Active,48
2020-01,Forfettario,Churned,Refunded,4
2024-05,Forfettario,Active,New,891
2021-04,Forfettario,Active,Renew_Change_Plan,1
2022-09,Forfettario,Churned,Refunded,6
2021-05,Forfettario,Active,New,369
2024-01,Forfettario,Active,New,2001
2023-11,Forfettario,Pending,New_Pending,424
2024-02,Forfettario,Churned,Still_Churned,7366
2021-02,Semplificato,Active,New,1
2022-07,Semplificato,Churned,Still_Churned,13
2020-11,Forfettario,Pending,New_Pending,1
2022-08,Forfettario,Churned,Refunded,11
2020-08,Forfettario,Churned,Refunded,2
2024-04,Semplificato,Active,Renew_Change_Plan,9
2024-05,Semplificato,Churned,Still_Churned,87
2023-12,Forfettario,Pending,Still_Pending,532
2020-03,Forfettario,Active,Resurrected,2
2024-05,Semplificato,Active,Still_Active,428
2019-09,Forfettario,Active,New,91
2024-07,Forfettario,Churned,Refunded,24
2021-08,Forfettario,Churned,Still_Churned,788
2020-01,Forfettario,Active,Still_Active,1459
2022-01,Forfettario,Active,Resurrected,18
2022-05,Forfettario,Active,Renew_Same_Plan,411
2020-04,Semplificato,Active,Still_Active,8
2020-08,Forfettario,Active,Still_Active,2344
2024-02,Forfettario,Active,Renew_Same_Plan,1711
2023-11,Forfettario,Active,Renew_Change_Plan,1
2023-10,Forfettario,Churned,Still_Churned,5508
2019-09,Forfettario,Active,Resurrected,1
2022-03,Forfettario,Active,Renew_Change_Plan,1
2023-12,Forfettario,Churned,Refunded,27
2023-12,Semplificato,Active,Renew_Change_Plan,9
2020-01,Forfettario,Churned,Expired,25
2023-12,Semplificato,Active,Resurrected,3
2022-09,Semplificato,Churned,Still_Churned,17
2020-04,Semplificato,Active,Renew_Same_Plan,1
2021-07,Forfettario,Active,Resurrected,11
2023-09,Forfettario,Churned,Still_Churned,5158
2019-03,Forfettario,Churned,Still_Churned,1
2020-10,Forfettario,Churned,Still_Churned,324
2022-12,Semplificato,Active,Renew_Change_Plan,6
2023-04,Semplificato,Active,Renew_Change_Plan,10
2023-10,Forfettario,Active,Resurrected,90
2024-07,Forfettario,Active,Resurrected,105
2020-10,Forfettario,Churned,Expired,43
2023-06,Semplificato,Active,Still_Active,175
2020-02,Semplificato,Active,Renew_Same_Plan,1
2019-10,Forfettario,Churned,Expired,10
2024-04,Semplificato,Churned,Refunded,1
2021-04,Forfettario,Churned,Expired,83
2020-09,Forfettario,Active,Still_Active,2340
2020-05,Forfettario,Churned,Still_Churned,197
2023-07,Forfettario,Active,Pending_Activated,1
2023-02,Forfettario,Pending,New_Pending,1
2023-10,Semplificato,Active,Resurrected,3
2024-06,Semplificato,Active,Still_Active,467
2024-03,Forfettario,Active,Still_Active,26249
2023-11,Forfettario,Active,Still_Active,23450
2023-05,Semplificato,Active,New,10
2024-06,Forfettario,Active,Renew_Same_Plan,1236
2020-02,Forfettario,Active,Still_Active,1605
2018-12,Forfettario,Active,New,24
2022-05,Forfettario,Active,Resurrected,42
2021-11,Semplificato,Active,Still_Active,59
2019-05,Forfettario,Active,New,82
2021-12,Semplificato,Active,Renew_Same_Plan,3
2020-10,Forfettario,Active,New,203
2021-04,Forfettario,Active,Still_Active,3974
2022-02,Semplificato,Churned,Expired,2
2020-10,Semplificato,Active,Still_Active,22
2021-04,Semplificato,Active,New,1
2021-12,Semplificato,Active,Still_Active,61
2022-12,Forfettario,Active,Still_Active,14546
2021-01,Forfettario,Active,Renew_Same_Plan,231
2022-11,Semplificato,Active,Resurrected,2
2020-07,Forfettario,Churned,Still_Churned,247
2024-02,Semplificato,Active,Resurrected,8
2022-09,Semplificato,Active,Renew_Change_Plan,5
2024-06,Forfettario,Active,New,812
2024-05,Forfettario,Active,Still_Active,27216
2020-07,Semplificato,Active,Renew_Change_Plan,4
2021-09,Forfettario,Active,Renew_Same_Plan,256
2023-07,Semplificato,Churned,Still_Churned,38
2022-11,Semplificato,Active,Renew_Change_Plan,3
2022-05,Forfettario,Churned,Refunded,5
2022-03,Forfettario,Churned,Still_Churned,1348
2023-08,Semplificato,Churned,Still_Churned,39
2023-04,Forfettario,Churned,Refunded,14
2022-04,Forfettario,Active,Resurrected,14
2021-03,Semplificato,Active,Renew_Same_Plan,2
2020-11,Semplificato,Active,Still_Active,26
2019-02,Forfettario,Active,New,105
2020-05,Semplificato,Active,Renew_Change_Plan,3
2023-10,Forfettario,Active,Pending_Activated,2
2021-12,Forfettario,Churned,Expired,39
2023-06,Forfettario,Pending,Still_Pending,1
2019-04,Forfettario,Churned,Expired,5
2018-02,Forfettario,Active,Still_Active,22
2021-01,Semplificato,Active,Renew_Same_Plan,1
2023-08,Semplificato,Churned,Expired,1
2022-10,Semplificato,Active,Renew_Same_Plan,3
2024-08,Semplificato,Churned,Expired,18
2019-06,Forfettario,Active,New,83
2021-12,Forfettario,Churned,Refunded,10
2023-01,Semplificato,Active,Renew_Change_Plan,12
2018-10,Forfettario,Active,Still_Active,335
2019-05,Semplificato,Active,New,1
2023-08,Semplificato,Active,Renew_Change_Plan,9
2021-09,Forfettario,Active,Still_Active,5297
2023-02,Forfettario,Active,Renew_Change_Plan,5
2022-09,Forfettario,Churned,Still_Churned,2203
2019-08,Forfettario,Active,Still_Active,1186
2019-10,Forfettario,Active,Renew_Same_Plan,60
2022-03,Forfettario,Active,New,909
2021-05,Forfettario,Churned,Refunded,10
2021-06,Semplificato,Churned,Still_Churned,4
2022-05,Semplificato,Active,Renew_Same_Plan,5
2024-06,Semplificato,Churned,Expired,8
2024-07,Semplificato,Churned,Expired,9
2024-01,Semplificato,Active,Resurrected,6
2022-09,Forfettario,Active,Renew_Change_Plan,1
2019-07,Forfettario,Active,New,89
2022-07,Forfettario,Active,Still_Active,11635
2019-08,Forfettario,Active,New,55
2021-04,Semplificato,Active,Renew_Same_Plan,1
2020-08,Forfettario,Active,New,110
2019-11,Forfettario,Active,New,114
2024-08,Semplificato,Active,Renew_Change_Plan,3
2023-09,Forfettario,Active,Resurrected,59
2022-06,Semplificato,Active,Still_Active,90
2022-06,Forfettario,Active,Renew_Change_Plan,1
2023-12,Semplificato,Active,New,2
2024-02,Forfettario,Active,Pending_Activated,1
2022-11,Forfettario,Active,Renew_Change_Plan,1
2019-04,Semplificato,Active,Still_Active,3
2023-07,Forfettario,Active,Still_Active,20810
2024-03,Semplificato,Churned,Expired,7
2023-03,Forfettario,Active,Renew_Change_Plan,1
2024-06,Forfettario,Active,Still_Active,27960
2022-09,Semplificato,Active,Renew_Same_Plan,2
2020-02,Forfettario,Active,New,112
2023-10,Forfettario,Churned,Refunded,26
2022-05,Forfettario,Churned,Still_Churned,1661
2018-08,Forfettario,Active,Still_Active,217
2019-05,Forfettario,Active,Renew_Same_Plan,24
2024-01,Forfettario,Churned,Expired,1156
2021-09,Forfettario,Active,Pending_Activated,1
2020-12,Forfettario,Churned,Refunded,3
2022-07,Semplificato,Churned,Expired,1
2021-02,Forfettario,Churned,Still_Churned,460
2019-06,Forfettario,Active,Renew_Same_Plan,36
2020-05,Forfettario,Active,Resurrected,3
2023-08,Forfettario,Churned,Still_Churned,4938
2023-04,Forfettario,Active,Still_Active,18874
2024-04,Forfettario,Active,New,873
2019-10,Forfettario,Churned,Still_Churned,64
2023-05,Forfettario,Active,New,1019
2023-08,Forfettario,Active,Resurrected,46
2024-03,Forfettario,Churned,Refunded,49
2022-12,Forfettario,Active,Pending_Activated,1
2020-10,Forfettario,Active,Still_Active,2504
2020-10,Forfettario,Active,Resurrected,4
2023-08,Semplificato,Active,Still_Active,212
2023-03,Semplificato,Active,Renew_Change_Plan,7
2023-08,Forfettario,Active,Renew_Change_Plan,3
2021-03,Forfettario,Active,Still_Active,3718
2018-08,Forfettario,Active,New,35
2021-11,Forfettario,Active,Still_Active,6104
2023-03,Forfettario,Pending,New_Pending,1
2019-05,Forfettario,Churned,Still_Churned,9
2023-02,Forfettario,Active,Resurrected,79
2023-10,Forfettario,Active,Renew_Same_Plan,896
2019-11,Forfettario,Churned,Still_Churned,73
2022-03,Forfettario,Active,Renew_Same_Plan,393
2023-09,Forfettario,Active,Pending_Activated,3
2023-11,Forfettario,Churned,Still_Churned,5814
2020-01,Forfettario,Active,Renew_Same_Plan,139
2024-02,Forfettario,Active,Resurrected,145
2023-10,Forfettario,Active,Renew_Change_Plan,1
2022-01,Semplificato,Active,New,1
2023-01,Forfettario,Active,New,3082
2024-08,Forfettario,Churned,Refunded,11
2023-09,Semplificato,Active,New,14
2024-02,Forfettario,Active,Still_Active,25352
2021-03,Forfettario,Churned,Expired,49
2023-09,Forfettario,Active,Still_Active,21573
2020-07,Forfettario,Active,Still_Active,2157
2023-05,Forfettario,Churned,Refunded,35
2020-08,Semplificato,Active,Still_Active,18
2023-09,Forfettario,Active,Renew_Same_Plan,1072
2021-05,Semplificato,Churned,Still_Churned,2
2023-06,Semplificato,Active,Renew_Same_Plan,2
2022-12,Semplificato,Active,Renew_Same_Plan,4
2018-12,Forfettario,Active,Still_Active,442
2020-10,Forfettario,Churned,Refunded,3
2023-04,Semplificato,Churned,Expired,2
2021-12,Forfettario,Churned,Still_Churned,1073
2021-10,Semplificato,Active,Renew_Same_Plan,1
2023-09,Forfettario,Active,New,1405
2021-05,Forfettario,Active,Renew_Same_Plan,191
2024-07,Forfettario,Active,New,840
2022-09,Semplificato,Churned,Expired,1
2022-08,Semplificato,Churned,Still_Churned,14
2020-04,Semplificato,Active,Renew_Change_Plan,2
2021-01,Forfettario,Churned,Refunded,2
2022-08,Forfettario,Active,Renew_Change_Plan,1
2021-02,Forfettario,Active,Resurrected,12
2022-01,Forfettario,Active,Still_Active,6258
2020-02,Semplificato,Active,Renew_Change_Plan,1
2023-05,Forfettario,Pending,New_Pending,1
2021-05,Semplificato,Active,Renew_Same_Plan,4
2023-09,Semplificato,Active,Resurrected,2
2023-11,Semplificato,Churned,Expired,2
2019-02,Forfettario,Churned,Expired,1
2022-02,Forfettario,Churned,Refunded,19
2020-11,Forfettario,Churned,Expired,45
2022-04,Semplificato,Active,Still_Active,84
2024-03,Semplificato,Churned,Refunded,9
2022-12,Semplificato,Churned,Expired,2
2023-05,Semplificato,Active,Renew_Change_Plan,11
2024-05,Forfettario,Active,Pending_Activated,1
2024-08,Forfettario,Active,Still_Active,29137
2021-03,Forfettario,Active,New,380
2023-10,Semplificato,Churned,Expired,2
2023-05,Forfettario,Active,Renew_Change_Plan,1
2024-08,Forfettario,Churned,Expired,1185
2024-01,Forfettario,Active,Renew_Same_Plan,3641
2024-03,Forfettario,Churned,Still_Churned,7894
2020-09,Forfettario,Active,Resurrected,2
2018-06,Forfettario,Active,New,38
2022-11,Forfettario,Churned,Refunded,14
2023-06,Forfettario,Active,Pending_Activated,1
2020-06,Forfettario,Churned,Expired,32
2022-06,Forfettario,Active,Resurrected,33
2019-12,Forfettario,Active,Resurrected,4
2022-12,Semplificato,Churned,Still_Churned,20
2023-07,Semplificato,Churned,Expired,1
2021-11,Semplificato,Active,Renew_Same_Plan,2
2021-05,Semplificato,Churned,Refunded,1
2020-11,Forfettario,Active,Renew_Same_Plan,92
2022-06,Forfettario,Active,Renew_Same_Plan,364
2024-06,Semplificato,Active,New,33
2021-12,Forfettario,Active,Renew_Same_Plan,168
2024-02,Semplificato,Churned,Still_Churned,60
2019-08,Forfettario,Churned,Refunded,2
2023-06,Semplificato,Active,Renew_Change_Plan,4
2020-09,Semplificato,Active,Still_Active,20
2022-12,Forfettario,Churned,Still_Churned,2641
2023-08,Forfettario,Active,Renew_Same_Plan,603
2023-04,Semplificato,Active,Still_Active,137
2023-04,Forfettario,Active,Renew_Same_Plan,849
2022-10,Forfettario,Churned,Still_Churned,2363
2023-05,Forfettario,Active,Renew_Same_Plan,1007
2022-12,Semplificato,Active,Still_Active,98
2023-08,Forfettario,Pending,New_Pending,2
2023-06,Semplificato,Active,New,9
2024-07,Semplificato,Active,Resurrected,9
2019-11,Forfettario,Churned,Expired,9
2020-04,Forfettario,Churned,Expired,26
2019-01,Forfettario,Active,Still_Active,448
2019-06,Forfettario,Churned,Still_Churned,21
2023-06,Forfettario,Active,New,930
2020-09,Forfettario,Active,Renew_Same_Plan,130
2023-08,Forfettario,Pending,Still_Pending,1
2024-08,Forfettario,Active,Renew_Change_Plan,1
2024-06,Semplificato,Active,Renew_Same_Plan,4
2022-07,Semplificato,Active,Still_Active,91
2019-08,Forfettario,Active,Renew_Same_Plan,24
2023-05,Semplificato,Active,Still_Active,151
2021-04,Forfettario,Active,Renew_Same_Plan,191
2022-10,Forfettario,Churned,Expired,180
2020-08,Forfettario,Active,Resurrected,1
2019-12,Semplificato,Active,Still_Active,4
2019-01,Forfettario,Active,New,174
2021-08,Forfettario,Active,Still_Active,5271
2023-01,Forfettario,Pending,New_Pending,1
2023-03,Forfettario,Active,Resurrected,48
2022-06,Forfettario,Active,Still_Active,10980
2020-02,Semplificato,Active,New,2
2021-01,Semplificato,Active,Renew_Change_Plan,8
2022-02,Semplificato,Active,Renew_Change_Plan,3
2023-04,Semplificato,Active,Renew_Same_Plan,3
2023-06,Forfettario,Churned,Expired,342
2023-11,Forfettario,Active,Pending_Activated,1
2024-05,Forfettario,Active,Resurrected,89
2022-10,Semplificato,Active,Resurrected,1
2020-01,Forfettario,Pending,New_Pending,1
2023-06,Forfettario,Active,Still_Active,20223
2020-05,Forfettario,Churned,Refunded,3
2019-02,Semplificato,Active,Still_Active,1
2023-11,Semplificato,Active,New,4
2022-02,Forfettario,Churned,Expired,109
2020-07,Semplificato,Active,Still_Active,14
2023-11,Forfettario,Active,Resurrected,69
2024-02,Semplificato,Active,Renew_Change_Plan,14
2023-12,Semplificato,Churned,Still_Churned,44
2022-10,Semplificato,Churned,Expired,3
2023-03,Semplificato,Active,New,12
2021-09,Semplificato,Churned,Expired,2
2024-06,Forfettario,Churned,Refunded,18
2020-04,Forfettario,Active,New,146
2021-09,Semplificato,Active,Renew_Change_Plan,2
2024-02,Forfettario,Active,Renew_Change_Plan,7
2022-08,Forfettario,Active,Still_Active,12468
2020-06,Forfettario,Churned,Refunded,2
2021-06,Semplificato,Active,Still_Active,50
2021-01,Forfettario,Active,Still_Active,2779
2022-01,Semplificato,Active,Renew_Change_Plan,12
2023-03,Semplificato,Churned,Still_Churned,25
2021-05,Forfettario,Churned,Expired,61
2020-12,Forfettario,Active,Renew_Same_Plan,88
2022-04,Semplificato,Active,Renew_Same_Plan,2
